| Feature              | Meaning                |
| -------------------- | ---------------------- |
| Machine_ID           | Machine number         |
| Product_Type         | Product category       |
| Shift                | Working shift          |
| Operator             | Machine operator       |
| Air_Temp             | Ambient temperature    |
| Process_Temp         | Machine temperature    |
| RPM                  | Machine speed          |
| Torque               | Machine torque         |
| Tool_Wear            | Tool usage             |
| Vibration            | Machine vibration      |
| Pressure             | Pressure               |
| Humidity             | Factory humidity       |
| Voltage              | Power supply           |
| Current              | Current consumption    |
| Production_Count     | Units produced         |
| Maintenance_Days_Ago | Days since maintenance |
| Defect               | Product quality label  |
| Failure              | Machine failure label  |
